gene,p-value,chrom
NSL1,0.55,chr1
LOC105372956,0.201,chr1
TAF1A-AS1,0.999,chr1
EPHB2,0.952,chr1
LOC105373159,0.404,chr1
SMYD3,0.106,chr1
WASF2,0.155,chr1
SESN2,0.0722,chr1
PHC2-AS1,0.183,chr1
CSMD2,0.961,chr1
BMP8A,0.537,chr1
PPIEL,0.225,chr1
HIVEP3,0.611,chr1
ECHDC2,0.281,chr1
JUN,0.247,chr1
KCNAB2,0.502,chr1
OLFML3,0.382,chr1
RPF1,0.228,chr1
LINC01768,0.218,chr1
LINC01786,0.213,chr1
CCNL2,0.995,chr1
TMEM51-AS1,0.654,chr1
KAZN,0.666,chr1
TUFT1,0.0788,chr1
DENND4B,0.142,chr1
CRTC2,0.151,chr1
CREB3L4,0.237,chr1
IL6R,0.134,chr1
HMCN1,0.52,chr1
ZNF281,0.713,chr1
ADIPOR1,0.0633,chr1
PPP1R15B,0.232,chr1
DDOST,0.998,chr1
KCNK2,0.586,chr1
RNF187,0.23,chr1
C1orf198,0.504,chr1
RBM34,0.65,chr1
GPR89B,0.808,chr1
NBPF14,0.295,chr1
PRUNE1,0.247,chr1
PIP5K1A,0.915,chr1
ZNF687,0.539,chr1
RHCE,0.487,chr1
FOXD2-AS1,0.652,chr1
ABCA4,0.401,chr1
RWDD3-DT,0.466,chr1
TLCD4,0.436,chr1
RTCA-AS1,0.891,chr1
OVGP1,0.00421,chr1
"NAXE",0.0435,chr1
GPATCH4,0.0389,chr1
S100A2,0.0115,chr1
ETV3,0.0967,chr1
F11R,0.217,chr1
FCGR2A,0.609,chr1
HSPA6,0.622,chr1
TOP1P1,0.525,chr1
ADORA1,0.999,chr1
HSD11B1,0.325,chr1
FLVCR1-DT,0.0925,chr1
SMYD2,0.175,chr1
RRP15,0.175,chr1
TOMM20,0.0587,chr1
ZBTB8OS,0.74,chr1
FBLN7,0.024,chr2
ZC3H6,0.43,chr2
TTL,0.438,chr2
POLR1B,0.48,chr2
PSD4,0.439,chr2
PAX8-AS1,0.0661,chr2
PAX8,0.0648,chr2
LOC101929908,0.154,chr2
CCDC93,0.478,chr2
STEAP3-AS1,0.000102,chr2
STEAP3,0.00108,chr2
C2orf76,0.653,chr2
PTPN4,0.0577,chr2
TMEM185B,0.532,chr2
NIFK-AS1,0.0078,chr2
NIFK,0.00517,chr2
BIN1,0.244,chr2
TRIB2,0.336,chr2
LOC107985944,0.471,chr2
UGGT1,0.515,chr2
HS6ST1,0.023,chr2
SMPD4,0.274,chr2
IMP4,0.0695,chr2
PTPN18,0.368,chr2
FAM168B,0.752,chr2
PLEKHB2,0.0703,chr2
MGAT5,0.125,chr2
CCNT2,0.459,chr2
RAB3GAP1,0.58,chr2
ZRANB3,0.247,chr2
UBXN4,0.265,chr2
DARS1,0.0406,chr2
HNMT,0.265,chr2
SPOPL,0.129,chr2
ZEB2,0.241,chr2
RND3,0.483,chr2
RBM43,0,chr2
NMI,0.379,chr2
RIF1,0.825,chr2
STAM2,0.799,chr2
NR4A2,0.149,chr2
GPD2,0.347,chr2
TANC1,0.0765,chr2
WDSUB1,0.585,chr2
BAZ2B,0.0603,chr2
MARCHF7,0.0363,chr2
CD302,0.0588,chr2
LY75-CD302,0.899,chr2
LY75,0.934,chr2
PLA2R1,0.0638,chr2
GCA,0.48,chr2
PXDN,0.000745,chr2
CYRIA,0.000735,chr2
PHOSPHO2-KLHL23,3e-06,chr2
KLHL23,0.228,chr2
METTL8,0.226,chr2
DCAF17,0.147,chr2
CYBRD1,1.9e-05,chr2
SLC25A12,0.705,chr2
ITGA6,0.119,chr2
PDK1,0.975,chr2
MAP3K20-AS1,0.0382,chr2
MAP3K20,0.0337,chr2
SP3,0.0487,chr2
SCRN3,0.0291,chr2
ATF2,0.793,chr2
ATP5MC3,0.239,chr2
LNPK,0.00457,chr2
SMC6,0.563,chr2
HNRNPA3,0.535,chr2
SESTD1,0.323,chr2
CWC22,0.0337,chr2
ITPRID2,0.325,chr2
DNAJC10,0.152,chr2
FRZB,0.411,chr2
ITGAV,0.226,chr2
CALCRL-AS1,0.384,chr2
TFPI,0.367,chr2
LINC01090,0.766,chr2
GULP1,0.00635,chr2
SLC40A1,0.0248,chr2
ASNSD1,0.00825,chr2
INPP1,0.722,chr2
MFSD6,0.619,chr2
"NAB1",0.000226,chr2
GLS,0.755,chr2
STAT1,0.662,chr2
MYO1B,0.0208,chr2
GTF3C3,0.0193,chr2
PGAP1,0.184,chr2
HSPD1,0.985,chr2
RFTN2,0.0431,chr2
WDR35,0.559,chr2
MATN3,0.894,chr2
SGO2,0.695,chr2
BZW1,0.93,chr2
CLK1,0.267,chr2
PPIL3,0.0489,chr2
NIF3L1,0.164,chr2
ORC2,0.222,chr2
CFLAR,0.39,chr2
CASP8,0.246,chr2
TRAK2,0.486,chr2
ALS2,0.321,chr2
NOP58,0.6,chr2
PUM2,0.245,chr2
FAM117B,0.0617,chr2
ABI2,0.815,chr2
RAPH1,0.818,chr2
NRP2,0.00313,chr2
INO80D,0.308,chr2
NDUFS1,0.266,chr2
EEF1B2,0.641,chr2
HS1BP3,0.531,chr2
FASTKD2,0.948,chr2
KLF7,0.794,chr2
CREB1,0.392,chr2
METTL21A,0.73,chr2
CCNYL1,0.647,chr2
FZD5,0.639,chr2
RPE,0.00173,chr2
KANSL1L,0.0716,chr2
LANCL1-AS1,0.0409,chr2
LANCL1,0.157,chr2
CPS1,0.915,chr2
IKZF2,0.584,chr2
BARD1,0.0389,chr2
FN1,0,chr2
MREG,0.224,chr2
PECR,0.0796,chr2
XRCC5,0.0653,chr2
LINC01963,0.661,chr2
IGFBP5,NA,chr2
TNS1,5.3e-05,chr2
LOC105373880,0.109,chr2
PNKD,0.607,chr2
TMBIM1,0.1124,chr2
CATIP-AS2,0.0553,chr2
SH3YL1,0.147,chr2
USP37,0.125,chr2
VIL1,0.0592,chr2
PLCD4,0.155,chr2
ZNF142,0.373,chr2
BCS1L,0.0179,chr2
STK36,0.14,chr2
ABCB6,0.292,chr2
ATG9A,0.1,chr2
ANKZF1,0.253,chr2
GLB1L,0.252,chr2
OBSL1,0.0428,chr2
EPHA4,0.15,chr2
ACSL3,0.297,chr2
AP1S3,0.0145,chr2
WDFY1,0.0151,chr2
SERPINE2,6e-06,chr2
CUL3,0.131,chr2
IRS1,0.682,chr2
RHBDD1,0.988,chr2
MFF,0.421,chr2
AGFG1,0.433,chr2
SLC19A3,0,chr2
TRIP12,0.0836,chr2
SP110,0.055,chr2
SP140L,0.586,chr2
SP100,0.276,chr2
LOC112268431,0.17,chr2
CAB39,0.0364,chr2
C2orf72,0.871,chr2
PSMD1,0.831,chr2
B3GNT7,0.913,chr2
NCL,0.992,chr2
DIS3L2,0.00288,chr2
GIGYF2,0.822,chr2
NGEF,0.73,chr2
ARL4C,0.426,chr2
AGAP1,0.736,chr2
IQCA1,0.481,chr2
ACKR3,0,chr2
COPS8,0.0875,chr2
COL6A3,0.000113333333333333,chr2
NHEJ1,0.13,chr2
CNPPD1,0.198,chr2
RETREG2,0.0682,chr2
STK16,0.677,chr2
DNAJB2,0,chr2
SPEGNB,0.045,chr2
SPEG,0.0595,chr2
ASIC4-AS1,0.142,chr2
CHPF,0.00807,chr2
TMEM198,0.143,chr2
STK11IP,0.592,chr2
COL4A3,0.00145,chr2
MFF-DT,0.00144,chr2
MLPH,0.0127,chr2
LRRFIP1,0,chr2
UBE2F-SCLY,0.235,chr2
SCLY,0.347,chr2
ERFE,0.176,chr2
PER2,0.266,chr2
TRAF3IP1,0.588,chr2
ASB1,0.0154,chr2
HDAC4,0.651,chr2
NDUFA10,0.704,chr2
FKBP1B,0.951,chr2
WDCP,0.821,chr2
GPC1,9.2e-05,chr2
FAM228B,0.0197,chr2
TP53I3,0.757,chr2
SNED1-AS1,0.322,chr2
SNED1,0.634,chr2
MTERF4,0.0489,chr2
ADCY3,0.154,chr2
KIF3C,0.878,chr2
GAREM2,0.556,chr2
HADHA,0.0827,chr2
HADHB,0.0386,chr2
CENPA,0.936,chr2
SLC35F6,0.0579,chr2
TMEM214,0.885,chr2
AGBL5,0.838,chr2
ACP1,0.871,chr2
FOSL2,0.352,chr2
YPEL5,0.0022,chr2
LCLAT1,0.887,chr2
EIPR1,0.0919,chr2
TTC27,0.75,chr2
LTBP1,0.145,chr2
TRAPPC12,0.866,chr2
ADI1,0.1,chr2
CRIM1,0.0923,chr2
FEZ2,0.806,chr2
CEBPZOS,0.229,chr2
CEBPZ,0.502,chr2
PRKD3,0.0802,chr2
NDUFAF7,0.531,chr2
LOC105374464,0.239,chr2
CDC42EP3,0.254,chr2
RMDN2,0.316,chr2
LOC107985872,0.38,chr2
CYP1B1,0.1093,chr2
ATL2,0.467,chr2
GALM,0.291,chr2
EML4,0.773,chr2
COX7A2L,0.033,chr2
THADA,0.215,chr2
PLEKHH2,0.0944,chr2
DYNC2LI1,0.0213,chr2
LRPPRC,0.0875,chr2
SLC3A1,0.978,chr2
PREPL,0.968,chr2
SRBD1,0.419,chr2
PRKCE,0.966,chr2
ATP6V1E2,0.00268,chr2
RHOQ-AS1,0.628,chr2
RHOQ,0,chr2
PIGF,0,chr2
CRIPT,0.0595,chr2
LINC01118,0.385,chr2
SOCS5,0.434,chr2
TTC7A,0.166,chr2
MSH6,0.411,chr2
FBXO11,0.378,chr2
STON1,0.932,chr2
STON1-GTF2A1L,0,chr2
GPR75-ASB3,0.00765,chr2
ASB3,0.01048,chr2
PSME4,0.131,chr2
ACYP2,0.13,chr2
SPTBN1,0.0767,chr2
RTN4,0.382,chr2
CLHC1,0.171,chr2
CCDC88A,0.84,chr2
CFAP36,0.237,chr2
PPP4R3B,0.926,chr2
EFEMP1,0.143,chr2
FANCL,0.213,chr2
REL,0.0395,chr2
PUS10,0.686,chr2
PEX13,0.00394,chr2
SANBR,0.894,chr2
C2orf74,0.0522,chr2
LOC339803,0.0354,chr2
AHSA2P,0.207,chr2
USP34,0.473,chr2
CCT4,0.379,chr2
B3GNT2,0.114,chr2
TMEM17,0.617,chr2
MDH1,0.888,chr2
WDPCP,0.884,chr2
VPS54,0.0442,chr2
LGALSL,0.271,chr2
LOC107984063,8.9e-05,chr2
LINC02245,7.3e-05,chr2
SLC1A4,7.4e-05,chr2
CEP68,0.109,chr2
RAB1A,0.11,chr2
SPRED2,0.861,chr2
TMEM18,0.0524,chr2
ETAA1,0.305,chr2
TMEM18-DT,0.634,chr2
DNAAF10,0.171,chr2
PNO1,0.598,chr2
PPP3R1,0.299,chr2
CNRIP1,0.123,chr2
FBXO48,0.629,chr2
ANTXR1,0.318,chr2
AAK1,0.486,chr2
ANXA4,0.813,chr2
GMCL1,0.475,chr2
MXD1,0.00836,chr2
ASPRV1,0.362,chr2
PCBP1-AS1,0.639,chr2
C2orf42,0.433,chr2
TIA1,0.0885,chr2
TGFA,0.152,chr2
ATP6V1B1-AS1,0.905,chr2
TEX261,0.907,chr2
LOC105374796,0.251,chr2
"NAGK",0.751,chr2
MPHOSPH10,0.992,chr2
DYSF,0,chr2
EXOC6B,0.00178,chr2
SFXN5,0.215,chr2
RAB11FIP5,0.253,chr2
CCT7,0.466,chr2
ALMS1,0.223,chr2
STAMBP,0.722,chr2
MTHFD2,0.122,chr2
SLC4A5,0.118,chr2
HK2,0.886,chr2
GCFC2,0.000575,chr2
MRPL19,0.000505,chr2
ATOH8,0.728,chr2
POLR1A,0.0204,chr2
KDM3A,0.101,chr2
RNF103-CHMP3,0.786,chr2
CHMP3-AS1,0.76,chr2
RNF103,0.794,chr2
ID2-AS1,0.324,chr2
RMND5A,0.27,chr2
ANAPC1P2,0.203,chr2
KIDINS220,0.313,chr2
MBOAT2,0.194,chr2
ITGB1BP1,3.2e-05,chr2
IAH1,0.0211,chr2
ADAM17,0.0222,chr2
LINC00342,0.00993,chr2
FAHD2CP,0.877,chr2
TMEM127,0.0501,chr2
CIAO1,0.434,chr2
KANSL3,0.0275,chr2
CNNM4,0.0128,chr2
ANKRD23,0.267,chr2
CNNM3,0.28,chr2
REV1,0.08,chr2
LONRF2,0.738,chr2
CHST10,0.106,chr2
KLF11,0.767,chr2
PDCL3,0.528,chr2
CYS1,0.483,chr2
NPAS2,0.136,chr2
MAP4K4,0.581,chr2
IL1RL2,0.784,chr2
MFSD9,0.4,chr2
TMEM182,0.136,chr2
TGFBRAP1,0.669,chr2
FHL2,0.11,chr2
ECRG4,0.7,chr2
RANBP2,0.294,chr2
SEPTIN10,0.743,chr2
SLC66A3,0.763,chr2
ROCK2,0.974,chr2
MERTK,0.534,chr2
SLC20A1,0.00367,chr2
CKAP2L,0.0109,chr2
NT5DC4,0.494,chr2
SLC35F5,0.388,chr2
E2F6,0.458,chr2
DDX18,0.729,chr2
LPIN1,0.81,chr2
CYP27C1,0.00296,chr2
ERCC3,0.0636,chr2
MAP3K2,0.771,chr2
POLR2D,0.0134,chr2
AMMECR1L,0.86,chr2
SMPD4BP,0.312,chr2
FBXO36,0.0608,chr2
LOC107985997,0.0468,chr2
SP140,0.271,chr2
ITM2C,0.336,chr2
PDE6D,0.756,chr2
TIGD1,0.305,chr2
KLHL29,0.531,chr2
ATAD2B,0.813,chr2
R3HDM1,0.242,chr2
MMADHC,0.622,chr2
PRPF40A,0.99,chr2
GALNT13,0.39,chr2
ACVR1,0.18,chr2
LOC100506124,0.00129,chr2
TTC21B,0.00277,chr2
FASTKD1,0.558,chr2
PPIG,0.969,chr2
CFAP210,0.556,chr2
DYNC1I2,0.313,chr2
HOXD11,0.441,chr2
HOXD10,0.00205,chr2
TTC30A,0.447,chr2
PLEKHA3,0.153,chr2
PDE1A,0.941,chr2
FAM171B,0.391,chr2
COL3A1,5.7e-05,chr2
COL5A2,0.0216,chr2
NEMP2,0.541,chr2
STK17B,0.15,chr2
COQ10B,0.887,chr2
MOB4,0.0402,chr2
MARS2,0.451,chr2
C2orf69,0.527,chr2
TYW5,0.146,chr2
SPATS2L,0.697,chr2
KCTD18,0.915,chr2
STRADB,0.76,chr2
WDR12,0.336,chr2
CARF,0.143,chr2
NBEAL1,0.986,chr2
CYP20A1,0.654,chr2
PARD3B,0.581,chr2
SPAG16,0.1143,chr2
CNOT9,0.428,chr2
RNF25,0.0503,chr2
TTLL4,0.993,chr2
GMPPA,0.629,chr2
PID1,0.00337,chr2
ARMC9,0.00204,chr2
EFHD1,0.339,chr2
SNORC,0.335,chr2
HJURP,0.741,chr2
SH3BP4,0.282,chr2
ILKAP,0.627,chr2
UBXN2A,0.78,chr2
ANKMY1,0.231,chr2
HDLBP,0.196,chr2
SEPTIN2,0.526,chr2
FARP2,0.172,chr2
STK25,0.323,chr2
THAP4,0.0133,chr2
ATG4B,0.149,chr2
DTYMK,0.382,chr2
ING5,0.596,chr2
NCOA1,0.459,chr2
CENPO,0.0565,chr2
DNMT3A,0.401,chr2
SELENOI,0.6,chr2
BABAM2,0.143,chr2
SPDYA,0.0178,chr2
PPP1CB,0.0201,chr2
TRMT61B,0.0203,chr2
WDR43,0.145,chr2
SPAST,0.828,chr2
RNASEH1,0.898,chr2
VIT,0.34,chr2
HAAO,0.957,chr2
MCFD2,0.393,chr2
CHAC2,0.192,chr2
ERLEC1,0.142,chr2
VRK2,0.864,chr2
PAPOLG,0.0578,chr2
USP34-DT,0.309,chr2
XPO1,0.944,chr2
UGP2,0.0522,chr2
PELI1,0.12,chr2
SERTAD2,0.0853,chr2
C1D,0.602,chr2
APLF,0.666,chr2
ARHGAP25,0.606,chr2
SNRNP27,0.0446,chr2
PCYOX1,0.378,chr2
PAIP2B,0.509,chr2
ZNF638,0.373,chr2
TET3,0.0376,chr2
LOC105374836,0.577,chr2
TMSB10,0.608,chr2
ELMOD3,0.92,chr2
MAT2A,0.379,chr2
GGCX,0.043,chr2
VAMP8,0.0494,chr2
VAMP5,0.848,chr2
RNF181,0.153,chr2
PTCD3,0.0349,chr2
IMMT,0.406,chr2
MRPL35,0.553,chr2
CHMP3,0.996,chr2
CD8B,0.649,chr2
THNSL2,0.0777,chr2
RPIA,0.611,chr2
ANKRD36C,0.726,chr2
STARD7,0.258,chr2
INPP4A,0.832,chr2
COA5,0.523,chr2
UNC50,0.233,chr2
MGAT4A,0.47,chr2
TAF1B,0.321,chr2
EIF5B,0.204,chr2
NPAS2-AS1,0.785,chr2
RPL31,0.0178,chr2
TBC1D8,0.0112,chr2
IL1R1,6e-04,chr2
IL18R1,0.038,chr2
IL1RL1,0.00483,chr2
NOL10,0.00687,chr2
PDIA6,0.261,chr2
ANAPC1,0.302,chr2
CBWD2,0.13,chr2
RABL2A,0.436,chr2
ACTR3,0.421,chr2
CLASP1,0.497,chr2
WDR33,0.544,chr2
ITSN2,0.404,chr2
CAD,0.0109,chr2
MPV17,0.426,chr2
GTF3C2,0.519,chr2
SNX17,0.489,chr2
ZNF513,0.845,chr2
PPM1G,0.444,chr2
NRBP1,0.0345,chr2
IFT172,0.00134,chr2
FNDC4,0.885,chr2
CLIP4,0.682,chr2
LBH,0.00918,chr2
EHD3,0.00062,chr2
C2orf27A,0.804,chr2
MCM6,0.591,chr2
TNFAIP6,0,chr2
TANK,0.142,chr2
LOC101929512,0.149,chr2
CERS6,0.0154,chr2
CERS6-AS1,0.446,chr2
WIPF1,0.201,chr2
NCKAP1,0.573,chr2
PMS1,1,chr2
BZW1-AS1,0.904,chr2
LOC105373835,0.696,chr2
FAM126B,0.713,chr2
TMEM237,0.346,chr2
RHOB,0.22,chr2
LDAH,0.315,chr2
CPO,0.377,chr2
PLEKHM3,0.0002625,chr2
IDH1,0.00496,chr2
PIKFYVE,0.94,chr2
MRPL44,0.148,chr2
ATG16L1,0.0767,chr2
UBE2F,0.668,chr2
SF3B6,0.0179,chr2
GPN1,0.975,chr2
ZNF512,0.71,chr2
SUPT7L,0.269,chr2
SLC4A1AP,0.903,chr2
SLC30A6,0.41,chr2
BIRC6,0.223,chr2
STRN,0.24,chr2
GPATCH11,0.998,chr2
EIF2AK2,0.45,chr2
CYP1B1-AS1,0.0229,chr2
EPAS1,0.591,chr2
YIPF4,0.144,chr2
HEATR5B,0.0653,chr2
FOXN2,0.481,chr2
GPR75,0.139,chr2
PNPT1,0.344,chr2
CCDC85A,0.0205,chr2
STPG4,0.941,chr2
CALM2,0.925,chr2
RPS27A,0.619,chr2
LOC105374758,0.428,chr2
FAM161A,0.16,chr2
AFTPH,0.386,chr2
ACTR2,0.000195,chr2
RNF144A,0.00134,chr2
CYP26B1,0,chr2
MOB1A,0.413,chr2
POLE4,0.982,chr2
TCF7L1,0.647,chr2
TGOLN2,0.582,chr2
SNRNP200,0.16,chr2
RNF149,0.388,chr2
SOWAHC,0.294,chr2
NCAPH,0.0201,chr2
TMEM131,0.214,chr2
ODC1,0.918,chr2
CD8B2,0.0754,chr2
LOC105373428,0.121,chr2
ATP6V1C2,0.842,chr2
NPHP1,0.99,chr2
BCL2L11,0.238,chr2
MIR4435-2HG,0.05,chr2
TMEM87B,0.792,chr2
RALB,0.915,chr2
FAR2P2,0.87,chr2
ACVR2A,0.975,chr2
ORC4,0.1008,chr2
FMNL2,0.0116,chr2
DDX1,0.973,chr2
GALNT5,0.104,chr2
COBLL1,0.00213,chr2
METTL5,0.919,chr2
SSB,0.989,chr2
UBR3,0.126,chr2
ERICH2-DT,0.645,chr2
ERICH2,0.63,chr2
OLA1,0.325,chr2
GPR155,0.412,chr2
ORMDL1,0.00151,chr2
TTC32,0.0156,chr2
WDR35-DT,0.563,chr2
ATIC,0.115,chr2
ARPC2,0.661,chr2
SCG2,0.805,chr2
WASH2P,0.483,chr2
INSIG2,0.658,chr2
SAP130,0.864,chr2
COPS7B,0.494,chr2
LOC105373929,0.0929,chr2
EIF4E2,0.0992,chr2
PPP1R7,0.603,chr2
D2HGDH,0.123,chr2
DNAJC27,0.0092,chr2
ASXL2,0.0928,chr2
GTF3C2-AS2,0.531,chr2
EIF2B4,0.555,chr2
FAM98A,0.0141,chr2
ARHGEF33,0.765,chr2
MORN2,0.78,chr2
SIX2,0.801,chr2
MTIF2,0.316,chr2
GFPT1,0.678,chr2
NFU1,0.804,chr2
MCEE,0.206,chr2
BOLA3-DT,0.63,chr2
RETSAT,0.0547,chr2
ASAP2,0.0667,chr2
MRPL30,0.381,chr2
LOC107985923,0.28,chr2
AFF3,0.341,chr2
LRP1B,0.314,chr2
ARL5A,0.938,chr2
PKP4,0.141,chr2
PKP4-AS1,0.833,chr2
ZC3H8,0.622,chr2
DBI,0.283,chr2
EPB41L5,0.905,chr2
RBMS1,0.0377,chr2
TLK1,0.955,chr2
CIR1,0.355,chr2
LINC01117,0.00134,chr2
LINC01116,0.00119,chr2
CHROMR,0.933,chr2
PRKRA,0.72,chr2
TTN-AS1,0.266,chr2
LOC101927055,0.295,chr2
TTN,0.24,chr2
ZNF385B,0.037,chr2
"NABP1",1,chr2
FZD7,0.74,chr2
BMPR2,0.966,chr2
ACADL,0.114,chr2
SMARCAL1-AS1,0.162,chr2
SMARCAL1,0.159,chr2
DGKD,0.0982,chr2
USP40,0.18,chr2
PKDCC,0.0481,chr2
MTA3,0.194,chr2
ZFP36L2,0.25,chr2
GTF2A1L,0.708,chr2
LHCGR,0.685,chr2
EHBP1,0.99,chr2
FAM136A,0.51,chr2
SMYD5,0.894,chr2
INO80B-WBP1,0.535,chr2
AUP1,0.543,chr2
KRCC1,0.976,chr2
TXNDC9,0.856,chr2
NCK2,0.0453,chr2
LIMS1,0.705,chr2
SH3RF3,0.521,chr2
SOCAR,0.00573,chr2
HOXD3,0.188,chr2
HAGLR,0.161,chr2
DARS1-AS1,0.0903,chr2
KYNU,0.162,chr2
DPP4,0.352,chr2
FIGN,0.412,chr2
GALNT3,0.957,chr2
BBS5,0.747,chr2
CTDSP1,0.985,chr2
MSL3P1,0.349,chr2
TWIST2,0.487,chr2
HIBCH,0.0382,chr2
SLC39A10,0.232,chr2
DTNB,0.106,chr2
GCKR,0.443,chr2
RPS7,1,chr2
SLC8A1-AS1,0.194,chr2
SLC8A1,0.187,chr2
FAM110C,0.619,chr2
EHBP1-AS1,0.929,chr2
AFTPH-DT,0.999,chr2
CAPG,0.0497,chr2
TMEM150A,0.607,chr2
USP39,0.799,chr2
C2orf68,0.786,chr2
ID2,0.773,chr2
SULT1C4,0.407,chr2
GCC2-AS1,0.507,chr2
GCC2,0.659,chr2
DDX11L2,0.82,chr2
LAPTM4A,0.0202,chr2
SDC1,0.414,chr2
ICA1L,0.144,chr2
MBD5,0.878,chr2
ACSL3-AS1,0.624,chr2
TRPM8,0.856,chr2
FBXO41,0.659,chr2
CYTOR,0.54,chr2
ANAPC1P4,0.571,chr2
LYG1,0.183,chr2
HPCAL1,0.108,chr2
MRPS9,0.979,chr2
ST6GAL1,0.144,chr3
LOC100131635,0.799,chr3
BCL6,0.539,chr3
LPP,0.012,chr3
TPRG1,0.436,chr3
IL1RAP,0.00182,chr3
CCDC50,0.151,chr3
OPA1,0.633,chr3
LRRC15,0.441,chr3
ATP13A3,0.123,chr3
TMEM44-AS1,0.219,chr3
TMEM44,0.224,chr3
LSG1,0.428,chr3
TNK2,0.165,chr3
TFRC,0.157,chr3
RNF168,0.222,chr3
WDR53,0.109,chr3
FBXO45,0.438,chr3
PIGX,0.753,chr3
CEP19,0.684,chr3
PAK2,0.0909,chr3
SENP5,0.928,chr3
NCBP2,0.383,chr3
NCBP2AS2,0.000214,chr3
MELTF,0.0263,chr3
DLG1,0.279,chr3
SDHAP4,0.00132,chr3
RUBCN,0.00738,chr3
LRCH3,0.545,chr3
IQCG,0.105,chr3
LMLN,0.166,chr3
RAB5A,0.683,chr3
PP2D1,0.216,chr3
KAT2B,0.405,chr3
ZNF385D,0.54,chr3
UBE2E1,0.0202,chr3
SLC4A7,0.475,chr3
ZCWPW2,0.492,chr3
RBMS3,0.377,chr3
TGFBR2,0.00186,chr3
TRNT1,0.169,chr3
CRBN,0.475,chr3
OSBPL10,0.0119,chr3
ZNF860,0.0197,chr3
CMTM7,0.103,chr3
CMTM6,0.295,chr3
CRTAP,0.17,chr3
SUSD5,0.0389,chr3
FBXL2,0.977,chr3
UBP1,0.883,chr3
CLASP2,0.835,chr3
PDCD6IP,0.956,chr3
TRANK1,0.394,chr3
EPM2AIP1,0.183,chr3
MLH1,0.0865,chr3
LRRFIP2,0.393,chr3
GOLGA4-AS1,0.0766,chr3
GOLGA4,0.0407,chr3
ITGA9,0.814,chr3
XYLB,0.199,chr3
SUMF1,0.323,chr3
LRRN1,0.231,chr3
EXOG,0.735,chr3
WDR48,0.185,chr3
CSRNP1,0.286,chr3
ENTPD3-AS1,0.884,chr3
RPL14,0.313,chr3
ZNF620,0.03,chr3
ZNF619,0.0321,chr3
ZNF621,0.336,chr3
ULK4,0.0725,chr3
TRAK1,0.0512,chr3
SEC22C,0.314,chr3
SS18L2,0.364,chr3
ZBTB47-AS1,0.88,chr3
NKTR,0.86,chr3
ZBTB47,0.0171,chr3
CCDC13,0.595,chr3
HIGD1A,0.563,chr3
TCAIM,0.528,chr3
ZNF445,0.292,chr3
ZNF852,0.791,chr3
ZKSCAN7-AS1,0.53,chr3
ZKSCAN7,0.0734,chr3
ZNF660-ZNF197,0.646,chr3
ZNF197,0.0416,chr3
KIAA1143,0.00526,chr3
CLEC3B,0.458,chr3
LARS2,0.0505,chr3
LIMD1,0.252,chr3
LIMD1-AS1,0.245,chr3
SACM1L,0.055,chr3
LOC107986083,0.732,chr3
LZTFL1,0.728,chr3
FYCO1,0.00154,chr3
CCRL2,0.00905,chr3
ALS2CL,0.0431,chr3
PTPN23,0.255,chr3
SMARCC1,0.8,chr3
MAP4,0.146,chr3
ZNF589,0.864,chr3
NME6,0.322,chr3
PLXNB1,0.946,chr3
PFKFB4,0.273,chr3
SLC26A6,0.0615,chr3
NCKIPSD,0.599,chr3
IP6K2,0.547,chr3
USP19,0.24,chr3
CCDC71,0.713,chr3
USP4,0.355,chr3
TCTA,0.019,chr3
DAG1,0.64,chr3
IP6K1,0.11,chr3
BHLHE40,0.00313,chr3
SEMA3B,0.559,chr3
IFRD2,0.513,chr3
HYAL3,0.0417,chr3
"NAA80",0.0216,chr3
HYAL2,0.677,chr3
RASSF1,0.91,chr3
CYB561D2,0.225,chr3
MAPKAPK3,0.00309,chr3
RBM15B,0.913,chr3
DCAF1,0.929,chr3
EDEM1,0.14,chr3
ITIH4,0.204,chr3
MUSTN1,0.0257,chr3
STIMATE-MUSTN1,7.4e-05,chr3
STIMATE,8.8e-05,chr3
PRKCD,0.744,chr3
TKT,0.0338,chr3
CHDH,0.92,chr3
IL17RB,0.856,chr3
WNT5A,0.0716,chr3
CCDC66,0.358,chr3
TASOR,0.969,chr3
ARHGEF3,0.184,chr3
APPL1,0.229,chr3
ASB14,0.6,chr3
PDE12,0.502,chr3
DENND6A,0.793,chr3
SLMAP,0.0313,chr3
FLNB,0.568,chr3
LOC107986091,0.299,chr3
DNASE1L3,0.549,chr3
HTD2,0.0284,chr3
RPP14,0.619,chr3
PXK,0.0694,chr3
PDHB,0.41,chr3
PTPRG,0.992,chr3
ATXN7,0.00553,chr3
PSMD6,0.633,chr3
PRICKLE2-AS1,0.0101,chr3
PRICKLE2,0.0147,chr3
SLC25A26,0.426,chr3
LRIG1,0.222,chr3
MITF,0.324,chr3
FOXP1,0.321,chr3
EIF4E3,0.321,chr3
SHQ1,0.668,chr3
PPP4R2,0.263,chr3
PDZRN3,0.393,chr3
FAM86DP,4e-06,chr3
ROBO1,0.00419,chr3
GBE1,0.255,chr3
LOC107986009,0.686,chr3
LMCD1,0.681,chr3
CGGBP1,0.595,chr3
ZNF654,0.758,chr3
EPHA3,0.00142,chr3
THUMPD3,0.982,chr3
THUMPD3-AS1,0.997,chr3
SRGAP3,0.717,chr3
OGG1,0.371,chr3
